authorCountryOfCitizenship,authorFirstName,authorFullName,authorGender,authorLastName,averageRating,centuryOfPublication,genres,goodreadsUrl,isbn,isbn13,lists,numberOfPages,numberOfRatings,numberOfReviews,numericId,primaryGenre,ratingDistribution,seriesName,seriesUrl,shelves,title,titleId,yearOfPublication
,Noah,Noah Levine,,Levine,3.77,21.0,"['Religion > Buddhism', 'Autobiography > Memoir', 'Nonfiction', 'Spirituality', 'Philosophy', 'Biography', 'Religion', 'Biography > Autobiography', 'Music > Punk', 'Biography Memoir']","=HYPERLINK(""https://www.goodreads.com/book/show/128116.Dharma_Punx"", ""Goodreads URL"")",3442216370.0,,,272,4067,401,128116,Religion > Buddhism,,,,,Dharma Punx: A Memoir,128116.Dharma_Punx,2003.0
,Ngũgĩ,Ngũgĩ wa Thiong'o,,Thiong'o,3.89,20.0,"['Cultural > Africa', 'Fiction', 'Literature > African Literature', 'Eastern Africa > Kenya', 'Classics', 'Historical > Historical Fiction', 'Novels', 'Literature', 'Academic > School', 'Literary Fiction']","=HYPERLINK(""https://www.goodreads.com/book/show/159336.Weep_Not_Child"", ""Goodreads URL"")",143106694.0,,,136,2997,273,159336,Cultural > Africa,,,,,"Weep Not, Child",159336.Weep_Not_Child,1964.0
,Eugene,Eugene Marten,,Marten,4.37,21.0,[],"=HYPERLINK(""https://www.goodreads.com/book/show/16057403-layman-s-report"", ""Goodreads URL"")",1306686792.0,,,300,19,3,16057403,,,,,,Layman's Report,16057403-layman-s-report,2013.0
,Jason,Jason Fitzgerald,,Fitzgerald,3.69,,['Nonfiction'],"=HYPERLINK(""https://www.goodreads.com/book/show/14444050-101-simple-ways-to-be-a-better-runner"", ""Goodreads URL"")",,,,52,228,21,14444050,Nonfiction,,,,,101 Simple Ways to be a Better Runner,14444050-101-simple-ways-to-be-a-better-runner,
,Benny,Benny Rothman,,Rothman,4.0,,[],"=HYPERLINK(""https://www.goodreads.com/book/show/13817546-the-battle-for-kinder-scout"", ""Goodreads URL"")",,,,100,3,0,13817546,,,,,,The Battle for Kinder Scout: Including the 1932 Mass Trespass,13817546-the-battle-for-kinder-scout,
,John,John  Williams,,Williams,4.3,20.0,"['Fiction', 'Classics', 'Literature', 'Novels', 'Literature > American', 'Historical > Historical Fiction', 'Literary Fiction', 'The United States Of America', 'Literature > 20th Century', 'American > Americana']","=HYPERLINK(""https://www.goodreads.com/book/show/166997.Stoner"", ""Goodreads URL"")",9938880398.0,,,278,123156,13704,166997,Fiction,,,,,Stoner,166997.Stoner,1965.0
,Eugene,Eugene Marten,,Marten,3.96,,"['Fiction', 'Literary Fiction']","=HYPERLINK(""https://www.goodreads.com/book/show/1490697.In_the_Blind"", ""Goodreads URL"")",1885983638.0,,,197,55,5,1490697,Fiction,,,,,In the Blind,1490697.In_the_Blind,
,Daniel,Daniel Kahneman,,Kahneman,4.17,,"['Nonfiction', 'Psychology', 'Science', 'Business', 'Self Help', 'Economics', 'Self Help > Personal Development', 'Philosophy', 'Audiobook', 'Unfinished']","=HYPERLINK(""https://www.goodreads.com/book/show/11468377-thinking-fast-and-slow"", ""Goodreads URL"")",141033576.0,,,499,389389,13541,11468377,Nonfiction,,,,,"Thinking, Fast and Slow",11468377-thinking-fast-and-slow,
,Bhagat,Bhagat Singh,,Singh,4.55,,"['Cultural > India', 'Nonfiction']","=HYPERLINK(""https://www.goodreads.com/book/show/13041672-the-selected-works-of-bhagat-singh"", ""Goodreads URL"")",,,,122,206,9,13041672,Cultural > India,,,,,The Selected Works of Bhagat Singh,13041672-the-selected-works-of-bhagat-singh,
,Venedikt,Venedikt Erofeev,,Erofeev,4.05,20.0,"['Cultural > Russia', 'Fiction', 'Literature > Russian Literature', 'Classics', 'Literature', 'Humor', 'Literature > 20th Century', 'Philosophy', 'Novels', 'Poetry']","=HYPERLINK(""https://www.goodreads.com/book/show/117896.Moscow_to_the_End_of_the_Line"", ""Goodreads URL"")",8874626533.0,,,164,10038,509,117896,Cultural > Russia,,,,,Moscow to the End of the Line,117896.Moscow_to_the_End_of_the_Line,1969.0
,J.M.,J.M. Synge,,Synge,3.5300000000000002,20.0,"['Plays', 'Drama', 'Classics', 'European Literature > Irish Literature', 'Plays > Theatre', 'Fiction', 'Cultural > Ireland', 'Literature > 20th Century', 'Academic > School', 'Short Stories']","=HYPERLINK(""https://www.goodreads.com/book/show/12104.Riders_to_the_Sea"", ""Goodreads URL"")",874405521.0,,,48,1712,105,12104,Plays,,,,,Riders to the Sea,12104.Riders_to_the_Sea,1904.0
